id,question,expected_answer
1,What are your opening hours?,
2,Where is your clinic located?,
3,Do you offer teeth whitening?,
4,How much does a dental cleaning cost?,
5,Do you accept walk-in patients?,
6,Do you treat children?,
7,I have a toothache and need to be seen today — can you help?,
8,Do you offer emergency dental appointments?,
9,Which insurance providers do you accept?,
10,Do you do root canals?,
11,Can I book an appointment for next week?,
12,Do you offer dental implants?,
13,Is parking available at the clinic?,
14,Do you offer payment plans for expensive treatments?,
15,What should I do if a filling falls out?,
